# Columns:
# 1. RA [deg]
# 2. Dec [deg]
# 3. Redshift in observation
# 4. Weight of this object in computing the cross-correlation
120.780626 51.503760 0.017480 1.000000
119.609534 54.392624 0.040954 1.000000
135.327222 62.480961 0.026193 1.000000
132.274596 62.621870 0.017708 1.000000
143.795181 32.348016 0.014252 1.000000
136.011849 29.368567 0.033291 1.000000
148.204543 11.150250 0.029295 1.000000
158.869647 12.644475 0.030779 1.000000
182.249170 14.967630 0.084443 1.000000
183.527895 15.404926 0.026192 1.000000
206.885800 14.266093 0.021500 1.000000
207.885535 14.247676 0.036971 1.000000
211.023356 13.903792 0.027339 1.000000
178.407373 16.011668 0.023174 1.000000
209.079346 37.704091 0.011229 1.000000
176.933162 36.500167 0.010375 1.000000
146.991372 32.991512 0.022055 1.000000
130.409575 26.234713 0.043975 1.000000
140.955703 31.544744 0.014139 1.000000
190.347144 37.987674 0.023284 1.000000
193.747052 37.735185 0.023539 1.000000
177.525755 37.099991 0.021043 1.000000
118.588581 16.135273 0.029055 1.000000
131.426424 23.696079 0.010881 1.000000
153.384695 29.975795 0.017117 1.000000
152.735731 32.218996 0.021035 1.000000
149.608898 32.808940 0.015314 1.000000
166.002160 32.505065 0.028966 1.000000
202.686725 32.760748 0.015579 1.000000
205.788367 33.556839 0.010573 1.000000
143.203893 26.619572 0.025420 1.000000
229.975197 26.294393 0.031309 1.000000
198.112513 33.220969 0.022853 1.000000
199.761761 32.896354 0.026548 1.000000
190.276050 34.570314 0.039210 1.000000
224.513759 28.036823 0.022654 1.000000
158.276630 32.074917 0.036616 1.000000
191.227911 34.942312 0.014230 1.000000
189.566209 35.388297 0.023101 1.000000
235.721110 24.436977 0.023152 1.000000
183.764770 31.534831 0.022355 1.000000
201.771008 31.373013 0.015990 1.000000
176.650503 32.520462 0.021929 1.000000
190.877720 33.417172 0.023073 1.000000
246.915506 18.838037 0.034860 1.000000
190.907062 31.730504 0.023732 1.000000
161.414553 30.044595 0.032408 1.000000
208.901677 31.257353 0.029584 1.000000
170.087522 30.625696 0.025137 1.000000
170.247728 31.631158 0.023663 1.000000
237.319321 21.831385 0.034507 1.000000
200.114897 28.123994 0.022550 1.000000
240.561419 17.506227 0.015894 1.000000
218.333421 25.050231 0.014400 1.000000
190.086334 29.600761 0.015522 1.000000
225.051246 23.529010 0.021255 1.000000
239.189328 18.435869 0.016352 1.000000
184.074098 30.416507 0.023909 1.000000
191.975397 30.373808 0.024515 1.000000
199.941736 29.692515 0.023933 1.000000
199.171223 30.248435 0.022222 1.000000
221.447324 22.734571 0.017535 1.000000
213.436750 21.667320 0.015882 1.000000
231.993894 17.131195 0.023418 1.000000
214.481197 21.926196 0.015938 1.000000
218.618846 21.948966 0.017941 1.000000
121.457531 14.942853 0.028287 1.000000
133.195263 22.034386 0.038216 1.000000
144.734805 26.473607 0.024268 1.000000
148.538815 28.104866 0.020503 1.000000
128.395955 19.741408 0.026047 1.000000
141.122471 22.274820 0.012741 1.000000
170.700912 28.918281 0.023284 1.000000
130.112892 18.574292 0.015439 1.000000
151.383189 25.799477 0.018111 1.000000
193.934551 28.754593 0.027474 1.000000
159.892227 27.050646 0.021016 1.000000
161.928152 27.457832 0.021525 1.000000
170.121743 28.722774 0.029636 1.000000
